Zona,Motivos,Total_de_bajas
Norte,Abandonos de trabajo,4
Norte,Renuncias voluntarias,4
Sur,Renuncias voluntarias,3
sur,Mejor oferta laboral,1
Sur,Problemas familiares,1
Marina,Mejor oferta laboral,5
Marina,Problemas familiares,3
Marina,Doping,1
